date,average_tas_c
1884-07-01,-17.69538497924802
1884-08-01,-24.530076980590792
1884-09-01,-23.13599376678465
1884-10-01,-30.616704750061018
1884-11-01,-29.24690513610838
1884-12-01,-17.151543617248507
1885-01-01,-22.1321630477905
1885-02-01,-10.706003952026322
1885-03-01,-1.3271560668945312
1885-04-01,-0.5469009399413949
1885-05-01,-0.6111297607421875
1885-06-01,-2.659640502929676
1885-07-01,-15.425739669799782
1885-08-01,-19.873899269103987
1885-09-01,-28.674626922607388
1885-10-01,-31.48283824920651
1885-11-01,-26.23512516021725
1885-12-01,-20.476638031005848
1886-01-01,-18.87734451293943
1886-02-01,-8.79720230102538
1886-03-01,-3.369021987915005
1886-04-01,-0.42896461486816406
1886-05-01,-1.2124149322509652
1886-06-01,-6.100598526000965
1886-07-01,-13.622207260131802
1886-08-01,-18.877943611144985
1886-09-01,-27.054654884338362
1886-10-01,-28.980547142028797
1886-11-01,-32.997193145751936
1886-12-01,-20.493168067932118
1887-01-01,-21.066613960266096
1887-02-01,-9.721382522582985
1887-03-01,-1.5885677337646484
1887-04-01,0.2330501556396598
1887-05-01,-1.664252090454056
1887-06-01,-4.996789550781216
1887-07-01,-15.486149787902832
1887-08-01,-20.95533695220945
1887-09-01,-28.918589973449684
1887-10-01,-30.697090148925753
1887-11-01,-29.323613357543934
1887-12-01,-30.314051437377913
1888-01-01,-12.183201789855957
1888-02-01,-8.14710197448727
1888-03-01,-1.6126415252685433
1888-04-01,-0.8230518341064226
1888-05-01,-1.0383369445800668
1888-06-01,-7.5879058837890625
1888-07-01,-17.00454463958738
1888-08-01,-20.27805938720701
1888-09-01,-31.606804847717257
1888-10-01,-28.116491508483875
1888-11-01,-37.47201614379881
1888-12-01,-32.85194816589353
1889-01-01,-20.40847244262693
1889-02-01,-8.716474151611294
1889-03-01,-2.9143184661865007
1889-04-01,-0.5340171813964503
1889-05-01,-1.1512512207031023
1889-06-01,-7.159662628173805
1889-07-01,-16.772455596923805
1889-08-01,-26.86252021789548
1889-09-01,-32.75190200805662
1889-10-01,-34.24050102233883
1889-11-01,-33.170841026306135
1889-12-01,-26.72104358673093
1890-01-01,-23.15138072967528
1890-02-01,-9.63765068054198
1890-03-01,-2.5582817077636264
1890-04-01,-0.5064689636230355
1890-05-01,-1.2222568511962777
1890-06-01,-7.340842437744129
1890-07-01,-11.31459732055663
1890-08-01,-23.587081146240223
1890-09-01,-23.432083129882784
1890-10-01,-32.34211578369138
1890-11-01,-34.60935058593748
1890-12-01,-33.429619598388655
1891-01-01,-25.953418540954573
1891-02-01,-8.393958663940396
1891-03-01,-2.095781707763649
1891-04-01,-1.024402999877907
1891-05-01,-2.2414997100829623
1891-06-01,-6.346013641357388
1891-07-01,-16.533791732788075
1891-08-01,-29.341716957092274
1891-09-01,-25.994525146484364
1891-10-01,-27.060477256774874
1891-11-01,-38.72031536102293
1891-12-01,-35.16758193969724
1892-01-01,-20.005403327941877
1892-02-01,-5.963322830200184
1892-03-01,-2.899137496948242
1892-04-01,-0.6834674835204737
1892-05-01,-1.7919342041015511
1892-06-01,-7.620093917846646
1892-07-01,-13.433417320251465
1892-08-01,-23.30243053436277
1892-09-01,-34.69307746887205
1892-10-01,-25.117852020263655
1892-11-01,-30.21031818389889
1892-12-01,-26.16410255432126
1893-01-01,-20.680511474609347
1893-02-01,-7.79429779052731
1893-03-01,-1.7922019958496094
1893-04-01,-0.25150032043455894
1893-05-01,-1.3292839050292855
1893-06-01,-6.095934677123978
1893-07-01,-13.087621307373013
1893-08-01,-20.264640235900856
1893-09-01,-24.016269874572743
1893-10-01,-23.455417060852028
1893-11-01,-32.315763473510714
1893-12-01,-23.01049499511717
1894-01-01,-16.721942901611328
1894-02-01,-7.067072296142555
1894-03-01,-1.158866500854458
1894-04-01,-0.31132659912105964
1894-05-01,-0.948545837402321
1894-06-01,-5.4172210693359375
1894-07-01,-14.73854179382323
1894-08-01,-23.99653739929198
1894-09-01,-26.892367553710926
1894-10-01,-27.35336990356444
1894-11-01,-28.74003047943114
1894-12-01,-24.47730350494382
1895-01-01,-23.204591751098604
1895-02-01,-9.622136688232388
1895-03-01,-1.6823108673095248
1895-04-01,-0.4235050201415902
1895-05-01,-1.495680999755848
1895-06-01,-5.408477401733364
1895-07-01,-15.59103450775143
1895-08-01,-21.877219772338833
1895-09-01,-24.340139007568325
1895-10-01,-20.72613048553464
1895-11-01,-26.43659324645995
1895-12-01,-29.777724456787098
1896-01-01,-19.052521896362293
1896-02-01,-8.107873153686512
1896-03-01,-1.7759735107421761
1896-04-01,-0.33211021423335296
1896-05-01,-1.2733161926269077
1896-06-01,-6.629588699340786
1896-07-01,-11.90535049438472
1896-08-01,-18.06201419830319
1896-09-01,-28.57872295379636
1896-10-01,-25.597423362731917
1896-11-01,-35.10666084289548
1896-12-01,-32.36678390502928
1897-01-01,-16.23394756317134
1897-02-01,-12.61066551208495
1897-03-01,-1.707677078247059
1897-04-01,-0.2715492248535156
1897-05-01,-1.0317123413085483
1897-06-01,-6.715812683105469
1897-07-01,-18.228224945068348
1897-08-01,-24.9124292373657
1897-09-01,-24.798835754394503
1897-10-01,-32.554018020629854
1897-11-01,-32.77081546783444
1897-12-01,-27.994736862182606
1898-01-01,-18.142719650268532
1898-02-01,-10.53568763732909
1898-03-01,-1.881646347045887
1898-04-01,-0.630734252929642
1898-05-01,-0.930265808105446
1898-06-01,-5.117110443115223
1898-07-01,-14.188869857788063
1898-08-01,-25.121376800537092
1898-09-01,-17.52645454406735
1898-10-01,-29.604294776916475
1898-11-01,-29.504573631286604
1898-12-01,-27.62631454467771
1899-01-01,-19.92722206115721
1899-02-01,-11.628276062011707
1899-03-01,-1.9123302459716456
1899-04-01,-0.22074584960932953
1899-05-01,-0.6268306732177393
1899-06-01,-7.221142959594715
1899-07-01,-15.322158813476562
1899-08-01,-25.62457542419432
1899-09-01,-19.521206474304165
1899-10-01,-20.802712059020962
1899-11-01,-28.044590377807594
1899-12-01,-34.325078201293934
1900-01-01,-20.947914886474592
1900-02-01,-6.256970596313465
1900-03-01,-1.2520942687988281
1900-04-01,0.15574569702152985
