date,year,month,average_tas_c
1974-04-24,1974,Apr,-0.3351390165440762
1974-05-25,1974,May,-1.206313907398851
1974-06-24,1974,Jun,-6.007312729779414
1974-07-25,1974,Jul,-10.05409617704504
1974-08-24,1974,Aug,-11.603015854779414
1974-09-24,1974,Sep,-13.688924452837739
1974-10-24,1974,Oct,-8.340391271254589
1974-11-22,1974,Nov,-17.141197473862576
1974-12-23,1974,Dec,-13.347680305032156
1975-01-22,1975,Jan,-5.220274083754589
1975-02-22,1975,Feb,-0.34495849609373863
1975-03-24,1975,Mar,0.4473514332490822
1975-04-24,1975,Apr,0.5541098201976524
1975-05-25,1975,May,-2.059190458409887
1975-06-24,1975,Jun,-5.938917451746306
1975-07-25,1975,Jul,-15.026502362419535
1975-08-24,1975,Aug,-17.36664069680603
1975-09-24,1975,Sep,-9.612003102022015
1975-10-24,1975,Oct,-18.731279799517438
1975-11-22,1975,Nov,-12.94584530101099
1975-12-23,1975,Dec,-10.307681094898896
1976-01-22,1976,Jan,-2.328845573874048
1976-02-22,1976,Feb,-0.8522970760569706
1976-03-23,1976,Mar,0.3394940544577594
1976-04-23,1976,Apr,0.6834519330193416
1976-05-24,1976,May,-1.876500387752742
1976-06-23,1976,Jun,-5.013736859489882
1976-07-24,1976,Jul,-9.187581140854775
1976-08-23,1976,Aug,-18.898479327033527
1976-09-23,1976,Sep,-12.894668579101562
1976-10-23,1976,Oct,-9.482208610983434
1976-11-21,1976,Nov,-13.617675601734788
1976-12-22,1976,Dec,-13.0992327521829
1977-01-21,1977,Jan,-5.658142807904369
1977-02-21,1977,Feb,-0.37851311178764036
1977-03-23,1977,Mar,0.8774331485524272
1977-04-23,1977,Apr,0.3629473517922861
1977-05-24,1977,May,-2.133678840188395
1977-06-23,1977,Jun,-7.769041532628648
1977-07-24,1977,Jul,-14.345176966050076
1977-08-23,1977,Aug,-11.022016457950372
1977-09-23,1977,Sep,-6.014583093979752
1977-10-23,1977,Oct,-7.702494542738975
1977-11-21,1977,Nov,-10.093743537454031
1977-12-22,1977,Dec,-14.292685834099245
1978-01-21,1978,Jan,-5.309622730928311
1978-02-21,1978,Feb,-0.24748283835015172
1978-03-23,1978,Mar,0.7257015452665883
1978-04-23,1978,Apr,0.9651535931755575
1978-05-24,1978,May,0.3629502240349325
1978-06-23,1978,Jun,-2.16790771484375
1978-07-24,1978,Jul,-13.331212122300087
1978-08-23,1978,Aug,-16.034898286707232
1978-09-23,1978,Sep,-18.285585829790875
1978-10-23,1978,Oct,-17.84891285615805
1978-11-21,1978,Nov,-14.435102933995836
1978-12-22,1978,Dec,-11.853045654296864
1979-01-21,1979,Jan,-6.4489843031939245
1979-02-21,1979,Feb,-0.7426280302159967
1979-03-23,1979,Mar,0.5965942382812841
1979-04-23,1979,Apr,-0.14069644703585027
1979-05-24,1979,May,-1.3584199793198195
1979-06-23,1979,Jun,-10.120303883272015
1979-07-24,1979,Jul,-22.161791274126813
1979-08-23,1979,Aug,-21.82838080911074
1979-09-23,1979,Sep,-17.27634546616497
1979-10-23,1979,Oct,-11.960046027688406
1979-11-21,1979,Nov,-16.032915362189783
1979-12-22,1979,Dec,-11.633890668083609
1980-01-21,1980,Jan,-1.6286427217370942
1980-02-21,1980,Feb,-0.6926068474264753
1980-03-22,1980,Mar,0.44503245634194855
1980-04-22,1980,Apr,0.700556497012883
1980-05-23,1980,May,0.18097246955426272
1980-06-22,1980,Jun,-5.115245504940219
1980-07-23,1980,Jul,-12.483087876263767
1980-08-22,1980,Aug,-12.904833625344622
1980-09-22,1980,Sep,-13.436271577722891
1980-10-22,1980,Oct,-18.24266447179454
1980-11-20,1980,Nov,-17.70089775534234
1980-12-21,1980,Dec,-15.512525670668651
1981-01-20,1981,Jan,-4.161181640624989
1981-02-20,1981,Feb,-1.161008228975163
1981-03-22,1981,Mar,0.050589886833677156
1981-04-22,1981,Apr,-0.6435363769530795
1981-05-23,1981,May,-0.6888302073758723
1981-06-22,1981,Jun,-4.4348503561580515
1981-07-23,1981,Jul,-5.151062729779369
1981-08-22,1981,Aug,-15.786343922334538
1981-09-22,1981,Sep,-13.495274801815242
1981-10-22,1981,Oct,-15.758906465418193
1981-11-20,1981,Nov,-20.018510167738953
1981-12-21,1981,Dec,-10.915851907169099
1982-01-20,1982,Jan,-5.364165541704949
1982-02-20,1982,Feb,-1.3822143554687045
1982-03-22,1982,Mar,0.6785080853630916
1982-04-22,1982,Apr,0.3458219640395441
1982-05-23,1982,May,-1.6461716595817961
1982-06-22,1982,Jun,-10.265366857192078
1982-07-23,1982,Jul,-9.682883228975186
1982-08-22,1982,Aug,-24.20112376493563
1982-09-22,1982,Sep,-26.138738834156698
1982-10-22,1982,Oct,-18.52859730440025
1982-11-20,1982,Nov,-12.349582806755507
1982-12-21,1982,Dec,-8.493336397058783
1983-01-20,1983,Jan,-5.635912726907122
1983-02-20,1983,Feb,-1.0216850729549378
1983-03-22,1983,Mar,-0.022660558363952532
1983-04-22,1983,Apr,0.501011388442123
1983-05-23,1983,May,-1.634812298943018
1983-06-22,1983,Jun,-3.293492575252742
1983-07-23,1983,Jul,-11.082788444967832
1983-08-22,1983,Aug,-15.585318172679195
1983-09-22,1983,Sep,-19.849257166245394
1983-10-22,1983,Oct,-7.158854406020225
1983-11-20,1983,Nov,-15.325041108972869
1983-12-21,1983,Dec,-12.589714140050546
1984-01-20,1984,Jan,-3.9494233972885695
1984-02-20,1984,Feb,-1.6656041762407767
1984-03-21,1984,Mar,0.15173124425552942
1984-04-21,1984,Apr,-0.42429558249079946
1984-05-22,1984,May,-1.9990873448988964
1984-06-21,1984,Jun,-9.321301269531205
1984-07-22,1984,Jul,-9.914548627067973
1984-08-21,1984,Aug,-19.974583165785816
1984-09-21,1984,Sep,-21.90273024615118
1984-10-21,1984,Oct,-22.907353659237117
1984-11-19,1984,Nov,-16.65486647661993
1984-12-20,1984,Dec,-11.93616835650272
1985-01-19,1985,Jan,-4.350403550091869
1985-02-19,1985,Feb,-1.2654745662913456
1985-03-21,1985,Mar,-0.0885559082030909
1985-04-21,1985,Apr,0.5791949103860361
1985-05-22,1985,May,-0.0813185747931584
1985-06-21,1985,Jun,-2.2706446030560414
1985-07-22,1985,Jul,-11.124050723805112
1985-08-21,1985,Aug,-11.918099078010073
1985-09-21,1985,Sep,-12.767685834099268
1985-10-21,1985,Oct,-13.175684311810642
1985-11-19,1985,Nov,-13.932577873678724
1985-12-20,1985,Dec,-9.293769387637838
1986-01-19,1986,Jan,-5.679083610983412
1986-02-19,1986,Feb,-0.9792519962086317
1986-03-21,1986,Mar,-0.6908691406249545
1986-04-21,1986,Apr,-0.4844030043657881
1986-05-22,1986,May,-1.4550580193014753
1986-06-21,1986,Jun,-3.9793654497931925
1986-07-22,1986,Jul,-8.167171702665428
1986-08-21,1986,Aug,-18.09878001493564
1986-09-21,1986,Sep,-9.562260885799617
1986-10-21,1986,Oct,-14.532832785213657
1986-11-19,1986,Nov,-15.841781077665416
1986-12-20,1986,Dec,-16.3111112706801
1987-01-19,1987,Jan,-5.557461368336362
1987-02-19,1987,Feb,0.08214506261492716
1987-03-21,1987,Mar,1.2182969037224325
1987-04-21,1987,Apr,0.5587510052849325
1987-05-22,1987,May,0.6033458036534967
1987-06-21,1987,Jun,-2.839708754595563
1987-07-22,1987,Jul,-10.186114501953114
1987-08-21,1987,Aug,-3.679305850758226
1987-09-21,1987,Sep,-6.212387982536768
1987-10-21,1987,Oct,-9.26072351792277
1987-11-19,1987,Nov,-12.351871804630036
1987-12-20,1987,Dec,-13.977395809397933
1988-01-19,1988,Jan,-3.9661843692554726
1988-02-19,1988,Feb,0.9444669835708055
1988-03-20,1988,Mar,1.2639677159926919
1988-04-20,1988,Apr,1.4225840849035194
1988-05-21,1988,May,-0.744185503791357
1988-06-20,1988,Jun,-1.3701703239889298
1988-07-21,1988,Jul,-6.553159466911723
1988-08-20,1988,Aug,-10.79629660213692
1988-09-20,1988,Sep,-22.117180319393356
1988-10-20,1988,Oct,-18.004459156709544
1988-11-18,1988,Nov,-10.201811667049583
1988-12-19,1988,Dec,-15.847155941233893
1989-01-18,1989,Jan,-4.197078929227928
1989-02-18,1989,Feb,-0.9045959472655909
1989-03-20,1989,Mar,0.01128001493566444
1989-04-20,1989,Apr,-0.13138858570772527
1989-05-21,1989,May,-1.8897888183593636
1989-06-20,1989,Jun,-10.262913243910816
1989-07-21,1989,Jul,-15.023983764648392
1989-08-20,1989,Aug,-18.79617327521828
1989-09-20,1989,Sep,-14.600460097369023
1989-10-20,1989,Oct,-15.177196009018814
1989-11-18,1989,Nov,-16.82011593089379
1989-12-19,1989,Dec,-15.944044763901616
1990-01-18,1990,Jan,-5.872031178193936
1990-02-18,1990,Feb,-0.4614850212545889
1990-03-20,1990,Mar,0.07547032973349133
1990-04-20,1990,Apr,-0.42169368968285426
1990-05-21,1990,May,-1.7906178193933329
1990-06-20,1990,Jun,-7.653350112017449
1990-07-21,1990,Jul,-13.113846543255931
1990-08-20,1990,Aug,-19.32583079618564
1990-09-20,1990,Sep,-25.170562564625442
1990-10-20,1990,Oct,-21.972580315084997
1990-11-18,1990,Nov,-23.601264504825338
1990-12-19,1990,Dec,-9.353941434972398
1991-01-18,1991,Jan,-4.818836885340033
1991-02-18,1991,Feb,-0.7489512724034739
1991-03-20,1991,Mar,-0.04947007123161029
1991-04-20,1991,Apr,0.030155675551498007
1991-05-21,1991,May,-2.3135889389935187
1991-06-20,1991,Jun,-8.991614128561537
1991-07-21,1991,Jul,-14.320642987419546
1991-08-20,1991,Aug,-17.296605906766985
1991-09-20,1991,Sep,-26.02804709041817
1991-10-20,1991,Oct,-24.138281609030315
1991-11-18,1991,Nov,-21.81467554428997
1991-12-19,1991,Dec,-14.102908145680146
1992-01-18,1992,Jan,-6.877883372587291
1992-02-18,1992,Feb,-0.7596762264475956
1992-03-19,1992,Mar,-0.14616447897515172
1992-04-19,1992,Apr,0.033721923828125
1992-05-20,1992,May,-2.012042595358423
1992-06-19,1992,Jun,-8.716121538947561
1992-07-20,1992,Jul,-15.707935288373164
1992-08-19,1992,Aug,-17.950533878101993
1992-09-19,1992,Sep,-20.15637943043427
1992-10-19,1992,Oct,-12.245521814682888
1992-11-17,1992,Nov,-13.823459939395661
1992-12-18,1992,Dec,-15.529010009765614
1993-01-17,1993,Jan,-8.1059466193704
1993-02-17,1993,Feb,-0.7033931956571564
1993-03-19,1993,Mar,0.15479879940261299
1993-04-19,1993,Apr,-0.7255328010110134
1993-05-20,1993,May,-3.5692551556755348
1993-06-19,1993,Jun,-5.108753877527533
1993-07-20,1993,Jul,-10.876715805951278
1993-08-19,1993,Aug,-22.78364024442783
1993-09-19,1993,Sep,-20.443544275620383
1993-10-19,1993,Oct,-19.773399442784893
1993-11-17,1993,Nov,-18.769907872817072
1993-12-18,1993,Dec,-14.641702988568454
1994-01-17,1994,Jan,-5.924582447725186
1994-02-17,1994,Feb,-1.4529379451975615
1994-03-19,1994,Mar,-0.0704255945541945
1994-04-19,1994,Apr,-0.46051276711853006
1994-05-20,1994,May,-2.9942145852481303
1994-06-19,1994,Jun,-8.178489056755495
1994-07-20,1994,Jul,-18.850638535443466
1994-08-19,1994,Aug,-7.642785644531216
1994-09-19,1994,Sep,-12.356160960477894
1994-10-19,1994,Oct,-18.416503188189324
1994-11-17,1994,Nov,-15.765630924000448
1994-12-18,1994,Dec,-12.352914249195749
1995-01-17,1995,Jan,-4.5728203268611765
1995-02-17,1995,Feb,-1.0167713838465033
1995-03-19,1995,Mar,0.07387803021600803
1995-04-19,1995,Apr,-0.008209946576243965
1995-05-20,1995,May,-3.523110064338198
1995-06-19,1995,Jun,-12.160639684340538
1995-07-20,1995,Jul,-17.644546149758696
1995-08-19,1995,Aug,-15.213926607019744
1995-09-19,1995,Sep,-19.65823759191173
1995-10-19,1995,Oct,-21.92932864918427
1995-11-17,1995,Nov,-17.33187884162453
1995-12-18,1995,Dec,-14.12332296932442
1996-01-17,1996,Jan,-5.533674172794122
1996-02-17,1996,Feb,-0.9124719956341778
1996-03-18,1996,Mar,-0.2812137379365822
1996-04-18,1996,Apr,-0.37074405445770253
1996-05-19,1996,May,-0.6795539407169144
1996-06-18,1996,Jun,-8.302521110983434
1996-07-19,1996,Jul,-15.85934591854317
1996-08-18,1996,Aug,-16.99436430089611
1996-09-18,1996,Sep,-14.17267707375919
1996-10-18,1996,Oct,-21.099154483570743
1996-11-16,1996,Nov,-23.90910824046412
1996-12-17,1996,Dec,-7.598921113855681
1997-01-16,1997,Jan,-3.490985466452173
1997-02-16,1997,Feb,-1.0247637580422406
1997-03-18,1997,Mar,0.7273017434513349
1997-04-18,1997,Apr,-0.15120023839614305
1997-05-19,1997,May,-0.9470437442554953
1997-06-18,1997,Jun,-8.810444551355658
1997-07-19,1997,Jul,-8.896443086511908
1997-08-18,1997,Aug,-15.262921860638755
1997-09-18,1997,Sep,-8.955279541015614
1997-10-18,1997,Oct,-5.888180003446678
1997-11-16,1997,Nov,-21.194113697725157
1997-12-17,1997,Dec,-12.697794297162204
1998-01-16,1998,Jan,-5.905361399931053
1998-02-16,1998,Feb,-1.2873039694393356
1998-03-18,1998,Mar,0.5058446547564586
1998-04-18,1998,Apr,0.012940171185675808
1998-05-19,1998,May,-1.4922287884880348
1998-06-18,1998,Jun,-4.061530259076278
1998-07-19,1998,Jul,-16.68683256261488
1998-08-18,1998,Aug,-19.82381178911993
