date,year,month,average_tas_c
2040-12-06,2040,Dec,-11.342014806410816
2041-01-05,2041,Jan,-2.4516917509191103
2041-02-05,2041,Feb,1.4712998334099439
2041-03-07,2041,Mar,2.40517003676473
2041-04-07,2041,Apr,3.8590066348805294
2041-05-08,2041,May,1.8051262350643356
2041-06-07,2041,Jun,-0.6657513786764753
2041-07-08,2041,Jul,-2.4353766946231303
2041-08-07,2041,Aug,-7.352611227596469
2041-09-07,2041,Sep,-2.7631746179916945
2041-10-07,2041,Oct,-16.67879171932441
2041-11-05,2041,Nov,-17.40289342543656
2041-12-06,2041,Dec,-8.109150247012849
2042-01-05,2042,Jan,-4.081008372587291
2042-02-05,2042,Feb,0.18636725930610964
2042-03-07,2042,Mar,0.8264687930836772
2042-04-07,2042,Apr,1.4706424488741163
2042-05-08,2042,May,0.7914019416360247
2042-06-07,2042,Jun,-1.5807843376608162
2042-07-08,2042,Jul,-2.7098754882812273
2042-08-07,2042,Aug,-10.861119528377742
2042-09-07,2042,Sep,-13.615309412339116
2042-10-07,2042,Oct,-14.952636000689324
2042-11-05,2042,Nov,-9.45195492015165
2042-12-06,2042,Dec,-10.753764073988975
2043-01-05,2043,Jan,-1.5680003446690876
2043-02-05,2043,Feb,1.0687514361213744
2043-03-07,2043,Mar,2.4443143956801805
2043-04-07,2043,Apr,3.5493056353400902
2043-05-08,2043,May,0.9574286965763008
2043-06-07,2043,Jun,-0.7285572725183442
2043-07-08,2043,Jul,-4.291191190831796
2043-08-07,2043,Aug,-13.855582383099716
2043-09-07,2043,Sep,-14.397570800781239
2043-10-07,2043,Oct,-23.76324067957259
2043-11-05,2043,Nov,-15.6644182990579
2043-12-06,2043,Dec,-7.933369715073525
2044-01-05,2044,Jan,-3.315510110294099
2044-02-05,2044,Feb,-0.3632194967830742
2044-03-06,2044,Mar,0.5970972397748255
2044-04-06,2044,Apr,1.206511733111256
2044-05-07,2044,May,0.5920438878676464
2044-06-06,2044,Jun,0.34223561006433556
2044-07-07,2044,Jul,-1.4371542537913342
2044-08-06,2044,Aug,-8.37909976734835
2044-09-06,2044,Sep,-9.869581155215997
2044-10-06,2044,Oct,-10.488545137293158
2044-11-04,2044,Nov,-7.606667552274814
2044-12-05,2044,Dec,-10.280234662224245
2045-01-04,2045,Jan,-2.778533935546875
2045-02-04,2045,Feb,0.18209049000461164
2045-03-06,2045,Mar,1.8530564252068302
2045-04-06,2045,Apr,1.883835018382399
2045-05-07,2045,May,3.1151119456571905
2045-06-06,2045,Jun,0.2515599867876972
2045-07-07,2045,Jul,-0.3002922506893242
2045-08-06,2045,Aug,-0.04896563361671724
2045-09-06,2045,Sep,-3.891976031135073
2045-10-06,2045,Oct,-7.76779318416817
2045-11-04,2045,Nov,-12.125862031824454
2045-12-05,2045,Dec,-7.234393669577173
2046-01-04,2046,Jan,-3.7286466710707487
2046-02-04,2046,Feb,1.2612290326287052
2046-03-06,2046,Mar,2.752913531135107
2046-04-06,2046,Apr,3.637202004825383
2046-05-07,2046,May,2.198445757697641
2046-06-06,2046,Jun,0.9237046185662052
2046-07-07,2046,Jul,-2.4066029268152533
2046-08-06,2046,Aug,-4.871229822495366
2046-09-06,2046,Sep,-5.1737369312959345
2046-10-06,2046,Oct,-5.581029196346492
2046-11-04,2046,Nov,-10.508204561121318
2046-12-05,2046,Dec,-4.881136905445771
2047-01-04,2047,Jan,-1.8278481876148476
2047-02-04,2047,Feb,1.4865245145909967
2047-03-06,2047,Mar,3.2423296760110247
2047-04-06,2047,Apr,3.394883817784944
2047-05-07,2047,May,1.9599472943474439
2047-06-06,2047,Jun,0.4016666187959572
2047-07-07,2047,Jul,-1.7476027544806811
2047-08-06,2047,Aug,-2.7225090475643015
2047-09-06,2047,Sep,-9.399792121438395
2047-10-06,2047,Oct,-11.550371955422747
2047-11-04,2047,Nov,-6.9205893123850615
2047-12-05,2047,Dec,-6.552308205997235
2048-01-04,2048,Jan,-1.3612419577205515
2048-02-04,2048,Feb,0.9138122558593977
2048-03-05,2048,Mar,2.357606057559792
2048-04-05,2048,Apr,2.7460287655101183
2048-05-06,2048,May,3.2189546472886263
2048-06-05,2048,Jun,-0.3909872616038115
2048-07-06,2048,Jul,-0.6124486586626858
2048-08-05,2048,Aug,-4.53386409983915
2048-09-05,2048,Sep,-2.838698443244482
2048-10-05,2048,Oct,-13.849183205997235
2048-11-03,2048,Nov,-15.979474954044122
2048-12-04,2048,Dec,-7.601517621208643
2049-01-03,2049,Jan,-2.0220947265625
2049-02-03,2049,Feb,-0.10835355870864305
2049-03-05,2049,Mar,1.7456790699678777
2049-04-05,2049,Apr,2.4984468347886377
2049-05-06,2049,May,0.4485197179457714
2049-06-05,2049,Jun,-0.11784739774816444
2049-07-06,2049,Jul,-4.502360624425535
2049-08-05,2049,Aug,-8.74360207950366
2049-09-05,2049,Sep,-8.826841107536723
2049-10-05,2049,Oct,-14.446165376550994
2049-11-03,2049,Nov,-13.775280941233916
2049-12-04,2049,Dec,-9.14475672104777
2050-01-03,2050,Jan,-2.2755223891314245
2050-02-03,2050,Feb,0.3727230296415769
2050-03-05,2050,Mar,2.3023243623621283
2050-04-05,2050,Apr,2.8872479607077253
2050-05-06,2050,May,1.518370863970631
2050-06-05,2050,Jun,-0.5012038286994311
2050-07-06,2050,Jul,-4.708621036305146
2050-08-05,2050,Aug,-2.230376120174583
2050-09-05,2050,Sep,-8.322152889476058
2050-10-05,2050,Oct,-9.132813218060619
2050-11-03,2050,Nov,-9.53089671415438
2050-12-04,2050,Dec,-9.102941176470551
2051-01-03,2051,Jan,-1.1556741153492567
2051-02-03,2051,Feb,1.3048627068014866
2051-03-05,2051,Mar,3.7890104406020555
2051-04-05,2051,Apr,4.5670094209559124
2051-05-06,2051,May,3.6563512465533563
2051-06-05,2051,Jun,1.551952047909026
2051-07-06,2051,Jul,-0.13126292509190307
2051-08-05,2051,Aug,-5.104673138786723
2051-09-05,2051,Sep,-12.84037529440485
2051-10-05,2051,Oct,-6.753350471047781
2051-11-03,2051,Nov,-2.9517488367417286
2051-12-04,2051,Dec,-6.135997817095586
2052-01-03,2052,Jan,-1.9492216222426464
2052-02-03,2052,Feb,0.4499658921185983
2052-03-04,2052,Mar,2.5866009880514866
2052-04-04,2052,Apr,3.726173311121329
2052-05-05,2052,May,1.1741318646599552
2052-06-04,2052,Jun,0.6063928940716892
2052-07-05,2052,Jul,-2.1491228889016156
2052-08-04,2052,Aug,-5.139778765510073
2052-09-04,2052,Sep,-2.4216743020450053
2052-10-04,2052,Oct,-10.322434369255518
2052-11-02,2052,Nov,-11.682936904009637
2052-12-03,2052,Dec,-7.240933407054229
2053-01-02,2053,Jan,-1.4187747730928209
2053-02-02,2053,Feb,1.689238783892506
2053-03-04,2053,Mar,4.118052045036791
2053-04-04,2053,Apr,4.029678524241774
2053-05-05,2053,May,3.0844568589154733
2053-06-04,2053,Jun,1.6809688792509405
2053-07-05,2053,Jul,-0.9511794146369539
2053-08-04,2053,Aug,-2.338587502872201
2053-09-04,2053,Sep,-5.671058565027579
2053-10-04,2053,Oct,-9.984576056985247
2053-11-02,2053,Nov,-12.315707397460926
2053-12-03,2053,Dec,-3.6952974207260922
2054-01-02,2054,Jan,-1.867812930836351
2054-02-02,2054,Feb,2.215549962660873
2054-03-04,2054,Mar,4.322433292164533
